vector_id,source,start_s,pcm_file,fundamental_hz,harmonic_count,harmonic_step_hz,harmonic_stability,average_energy,rms,zero_crossing_rate,spectral_centroid_hz,spectral_flatness,spectral_bandwidth_hz,noise_floor,high_band_energy_6_10khz,fundamental_variation,harmonic_variation,frequency_modulation_index,spectral_roughness,doppler_stability,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
vec_010,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,119.0,vec_010.bin,443.13976939851875,4.0,2157.0,0.3591186901640509,0.033700454980134964,0.18357683672003655,0.26757037450396826,4067.9637660807057,0.006607808638364077,2677.099626793945,0.006682153513331475,0.21521196573298562,0.2760325403761832,1.0,1.0,0.4984726970094234,0.0,-140.88873291015625,90.8187026977539,-52.66666030883789,19.695222854614258,-19.318241119384766,-17.171367645263672,-1.3915547132492065,22.3330135345459,-34.034912109375,18.738908767700195,11.59933853149414,-5.6923017501831055,1.170434594154358,30.819047927856445,21.624664306640625,13.302122116088867,14.63658332824707,24.016616821289062,17.989612579345703,13.596109390258789,26.137287139892578,23.676231384277344,13.471290588378906,17.9541015625,14.149521827697754,12.024171829223633
vec_011,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,131.0,vec_011.bin,124.13833159493564,9.0,501.0,0.16576343097144702,0.020733002573251724,0.1439895918920938,0.17826140873015872,3939.4765671642344,0.026430143043398857,3472.7722150225736,0.012649746852428237,0.012280921815357485,0.7983034867301178,1.0,1.0,0.6460290158394317,0.0,-64.5395736694336,88.16468048095703,-37.487430572509766,8.415343284606934,-28.52324104309082,-3.310692548751831,0.6944391131401062,5.891917705535889,-17.7294921875,27.403976440429688,-9.649911880493164,10.46242904663086,4.2442498207092285,21.415172576904297,21.159807205200195,13.932500839233398,12.509103775024414,9.853167533874512,10.710803031921387,11.839603424072266,10.933646202087402,11.339703559875488,12.050885200500488,14.423624038696289,9.946149826049805,9.93937873840332
vec_012,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,143.0,vec_012.bin,83.78032859720246,15.0,339.5,0.18407784648382558,0.03827190026640892,0.19563205326941932,0.1793542286706349,3615.1768524191743,0.018508385866880417,3135.466994426379,0.018421047575403977,0.024049632449026283,0.8687158967026098,1.0,1.0,1.0,0.0,-11.343751907348633,96.7961196899414,-50.63002395629883,28.18921661376953,-34.99138259887695,5.043843746185303,-11.995109558105469,17.019760131835938,-21.30417251586914,25.49789047241211,-10.801167488098145,17.61372947692871,-7.797822952270508,15.694114685058594,11.469596862792969,9.586182594299316,11.195459365844727,11.903613090515137,10.526006698608398,9.779242515563965,9.817545890808105,7.9320969581604,8.278841972351074,7.992834568023682,7.05924654006958,6.34917688369751
vec_013,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,155.0,vec_013.bin,202.73767568642228,4.0,613.0,0.25445949540665624,0.01710245944559574,0.13077637189338043,0.2009703621031746,4055.2301529165525,0.027534516528248787,3422.6216291276783,0.008490715629105462,0.034035889911847514,0.5086085287259491,1.0,1.0,0.5318494218951764,0.0,-96.8355941772461,80.14776611328125,-36.26374053955078,11.476874351501465,-31.011720657348633,-4.403695583343506,-14.582831382751465,12.681151390075684,-16.209503173828125,9.387362480163574,-0.0020476749632507563,5.680225372314453,-4.259171009063721,31.6719970703125,10.650195121765137,15.350556373596191,14.166975021362305,11.38784408569336,19.617019653320312,11.057924270629883,12.29312801361084,13.498398780822754,10.822901725769043,5.868146896362305,6.876884460449219,11.113225936889648
vec_014,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,167.0,vec_014.bin,64.5768520539885,16.0,195.0,0.3154076693792646,0.03721919283270836,0.19292276390490667,0.15850539434523808,3914.6439546255892,0.037671662867069244,3643.6802534685535,0.027710733390772388,0.026003103724117422,0.5953903643423749,1.0,1.0,1.0,0.0,-0.4298584461212158,90.91326141357422,-33.70153045654297,12.62773323059082,-36.864166259765625,3.7362067699432373,-13.227609634399414,10.252763748168945,-16.52897071838379,19.539003372192383,-9.500356674194336,10.47684097290039,-4.734197616577148,23.553922653198242,17.18996810913086,13.345731735229492,12.24846076965332,9.677828788757324,13.826047897338867,11.52955436706543,9.159805297851562,10.988191604614258,7.386291980743408,8.36001968383789,7.7222065925598145,9.172234535217285
vec_015,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,179.0,vec_015.bin,50.24542100159814,9.0,50.0,0.18008593379998422,0.015574284829199314,0.12479697443928404,0.24046688988095238,6431.342031524744,0.17831814289093018,4882.718248222822,0.008261991961395718,0.08530275389664028,1.0,0.699754474857188,1.0,0.16887870791103127,0.0,-71.07966613769531,28.553926467895508,20.18427848815918,19.325223922729492,16.57118797302246,17.19561195373535,11.631192207336426,12.856025695800781,7.8372015953063965,11.41847038269043,7.602986812591553,7.620144367218018,2.2539968490600586,18.488784790039062,6.065539836883545,3.1886143684387207,4.918951034545898,7.332756996154785,4.719170093536377,4.80308723449707,3.1754679679870605,2.9299323558807373,3.2934141159057617,3.384570360183716,3.5095386505126953,3.1279613971710205
vec_016,dji_mini_3pro.wav,0.0,vec_016.bin,110.85935619809317,13.0,383.5,0.15543774553211048,0.043624117970466614,0.2088638742589695,0.2210363963293651,5139.689264393232,0.14732396602630615,3987.1433775903183,0.014961469981360683,0.1146250414076107,0.8953235284471619,1.0,1.0,0.4015176387225944,0.0,-66.67330932617188,33.798973083496094,-3.7750256061553955,-2.468324661254883,-6.418607711791992,3.232921600341797,-8.726412773132324,7.824486255645752,-1.4220303297042847,0.9493768215179443,-2.7927136421203613,2.003326416015625,-4.985035419464111,228.91661071777344,14.95995807647705,3.672900676727295,3.8354439735412598,4.5708441734313965,4.03792667388916,4.7392802238464355,4.715643405914307,3.310457229614258,3.8537790775299072,3.709428310394287,3.5084807872772217,3.923523426055908
vec_017,dji_mini_3pro.wav,5.0,vec_017.bin,224.30536716903566,5.0,336.0,0.3939117419085367,0.048377875238657,0.21994971070373565,0.21113126240079366,5294.390302643171,0.11463730782270432,4406.404335960615,0.016955378602591407,0.08484060140117654,0.34727811227509997,0.832799354955243,1.0,0.5147084457038658,0.0,22.341585159301758,49.7982063293457,-5.722756385803223,-1.0431896448135376,-2.294250011444092,11.096929550170898,-10.26435375213623,3.7520711421966553,-2.6076509952545166,0.4362374544143677,-7.583976745605469,2.6021461486816406,-1.4719195365905762,5.735286235809326,7.571138381958008,7.3702898025512695,6.634826183319092,4.870051860809326,5.487857341766357,5.383480072021484,6.036211013793945,4.452742099761963,3.9707601070404053,3.9169089794158936,4.0910820960998535,4.112013339996338
vec_018,dji_mini_3pro.wav,10.5,vec_018.bin,64.14357734517202,12.0,256.0,0.23764785415652964,0.04542388767004013,0.21312880535028608,0.22278800843253968,5499.855342131329,0.12680748105049133,4481.490170186281,0.01434341939137923,0.08511149190002437,0.6941158796521564,1.0,1.0,0.40724224632099093,0.0,22.24741554260254,47.80406951904297,-5.201236248016357,-6.369394302368164,-6.464376926422119,4.822545528411865,-11.165312767028809,10.99449634552002,4.669929504394531,3.7295138835906982,-6.957226753234863,1.7279917001724243,-1.4846874475479126,6.859972953796387,4.477316379547119,4.228023529052734,4.251159191131592,5.463808059692383,6.080461025238037,4.990639686584473,3.8230490684509277,3.8949317932128906,4.097203731536865,4.332849025726318,4.784966468811035,4.277987480163574
vec_019,dji_mini_3pro.wav,16.0,vec_019.bin,45.51021336102385,12.0,94.0,0.10447642257373016,0.0659693032503128,0.2568449011569294,0.2336852058531746,6736.920384915135,0.09913948178291321,4845.746612041081,0.0052448023014212,0.06243979852829047,0.9900523942805997,1.0,1.0,0.11685268700782292,0.0,0.025104409083724022,26.456830978393555,17.711090087890625,-4.9658732414245605,8.663040161132812,14.178425788879395,-13.097031593322754,-0.7391266822814941,-1.4021402597427368,5.457913875579834,-11.319822311401367,-8.899443626403809,-14.401741027832031,8.600699424743652,5.01140832901001,3.3270716667175293,3.7291946411132812,3.2324979305267334,4.992463111877441,5.913642406463623,3.1293818950653076,3.486992359161377,3.6659295558929443,3.634596824645996,3.2877066135406494,3.310997486114502
