Ref,Val,Package,PosX,PosY,Rot,Side
"R78","ERJ-2RKF1002X","",93.000000,-38.000000,180.000000,top
"R79","ERJ-2RKF22R0X","",44.250000,-20.750000,180.000000,top
"R80","ERJ-2RKF22R0X","",83.000000,-24.250000,0.000000,top
"R81","ERJ-2RKF22R0X","",88.250000,-23.000000,0.000000,top
"R82","ERJ-2RKF22R0X","",84.750000,-24.250000,0.000000,top
"R83","ERJ-2RKF22R0X","",90.000000,-23.000000,0.000000,top
"R84","ERJ-2RKF22R0X","",91.750000,-23.000000,0.000000,top
"R85","ERJ-2RKF1002X","",93.500000,-23.000000,0.000000,top
"R86","ERJ-2RKF1002X","",84.750000,-23.000000,0.000000,top
"R87","ERJ-2RKF1002X","",86.500000,-24.250000,0.000000,top
"R88","ERJ-2RKF1002X","",90.000000,-24.250000,0.000000,top
"R89","ERJ-2RKF1002X","",86.500000,-23.000000,0.000000,top
"R90","ERJ-2RKF1002X","",81.000000,-23.000000,0.000000,top
"R91","ERJ-2RKF22R0X","",64.000000,-25.250000,0.000000,top
"R92","ERJ-2RKF22R0X","",64.000000,-26.250000,0.000000,top
"R93","ERJ-2RKF5101X","",44.000000,-11.500000,0.000000,top
"R94","ERJ-2RKF5101X","",38.500000,-11.500000,0.000000,top
"R95","ERJ-2RKF1001X","",47.000000,-15.000000,0.000000,top
"R96","ERJ-2RKF1003X","",42.250000,-22.750000,0.000000,top
"R97","ERJ-2RKF1004X","",43.000000,-12.750000,0.000000,top
"R99","ERJ-2RKF1002X","",102.000000,-16.750000,0.000000,top
"R100","ERJ-2RKF1001X","",96.000000,-28.000000,180.000000,top
"R101","ERJ-2RKF22R0X","",38.500000,-31.000000,0.000000,top
"R102","ERJ-2RKF1001X","",38.500000,-33.000000,180.000000,top
"R103","ERJ-2GE0R00X","",27.000000,-22.500000,0.000000,top
"U1","STM32U585VIT6Q","ST_STM32U585_LQFP100_1L",52.000000,-30.000000,0.000000,top
"U2","W25Q512JVFIQ","Winbond_W25Q512JV_PackageF_IPC_Candidate",76.000000,-31.500000,0.000000,top
"U3","LIS2DW12TR","ST_LIS2DW12_LGA-12L",66.000000,-30.500000,0.000000,top
"U4","STTS22HTR","STTS22H_UDFN-6L",66.000000,-36.500000,0.000000,top
"U5","LT6000IDCB#TRMPBF","LT6000_DCB-7",61.000000,-57.000000,0.000000,top
"U6","SN74LVC1G07DBVR","TI_DBV0005A_SOT23-5",90.500000,-35.500000,0.000000,top
"U7","SN74AXC8T245PWR","TI_PW0024A_TSSOP24",59.750000,-45.250000,0.000000,top
"U8","BG95-M3","Quectel_BG95-M3_LGA-102",24.000000,-52.000000,0.000000,top
"U9","MAX-M10S-00B","u-blox_MAX-M10S_LCC-18",53.500000,-58.000000,0.000000,top
"U10","E22-900M22S","Ebyte_E22-M22S_Castellated-22",74.000000,-55.000000,0.000000,top
"U11","MDBT50Q-P1MV2","Raytac_MDBT50Q-P1MV2",102.250000,-35.250000,-90.000000,top
"U13","TS3A27518EPWR","TI_PW0024A_TSSOP24",36.500000,-18.000000,0.000000,top
"U14","ESDALC6V1-5P6","ST_ESDALC6V1-5P6_SOT666",22.000000,-19.500000,0.000000,top
"U15","ESDALC6V1-5P6","ST_ESDALC6V1-5P6_SOT666",73.500000,-12.000000,0.000000,top
"U16","SN74AXC8T245PWR","TI_PW0024A_TSSOP24",24.000000,-32.750000,0.000000,top
"U17","SN74LVC32APWR","TI_PW0014A_TSSOP14",47.000000,-46.000000,0.000000,top
"U18","SN74AXC1T45DRLR","TI_DRL0006A_SOT6",53.500000,-46.000000,0.000000,top
"U19","TPD4E05U06DQAR","TI_DQA0010A_USON10",8.750000,-38.500000,0.000000,top
"U20","TPD4E05U06DQAR","TI_DQA0010A_USON10",38.250000,-62.000000,0.000000,top
"U21","TPD4E05U06DQAR","TI_DQA0010A_USON10",92.000000,-65.250000,0.000000,top
"U22","TPD4E05U06DQAR","TI_DQA0010A_USON10",100.750000,-54.000000,0.000000,top
"U23","TPD4E05U06DQAR","TI_DQA0010A_USON10",83.000000,-21.000000,0.000000,top
"U24","TPD4E05U06DQAR","TI_DQA0010A_USON10",88.000000,-21.000000,0.000000,top
"U25","TPD2EUSB30DRTR","TI_DRT0003A_IPC_Candidate",42.000000,-9.250000,180.000000,top
"U26","TPD2EUSB30DRTR","TI_DRT0003A_IPC_Candidate",8.500000,-51.500000,-90.000000,top
"U27","TPD4E05U06DQAR","TI_DQA0010A_USON10",41.000000,-65.000000,0.000000,top
"X1","SiT1552AI-JE-DCC-32.768D","SiT1552_JE_CSP-4",61.750000,-30.000000,0.000000,top
